"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"","","Pakistan","https://www.worldometers.info/coronavirus/country/pakistan/","255,769","5,386","+2,165","172,810","77,573","1,627,939","221,025,870","https://www.worldometers.info/world-population/pakistan-population/"
"","","Italy","https://www.worldometers.info/coronavirus/country/italy/","243,344","34,984","","195,441","12,919","6,004,611","60,458,132","https://www.worldometers.info/world-population/italy-population/"
"","","Saudi Arabia","https://www.worldometers.info/coronavirus/country/saudi-arabia/","237,803","2,283","","177,560","57,960","2,336,874","34,831,824","https://www.worldometers.info/world-population/saudi-arabia-population/"
"","","Turkey","https://www.worldometers.info/coronavirus/country/turkey/","214,993","5,402","","196,720","12,871","4,065,178","84,371,332","https://www.worldometers.info/world-population/turkey-population/"
"","","Germany","https://www.worldometers.info/coronavirus/country/germany/","200,766","9,144","","186,000","5,622","6,376,054","83,794,469","https://www.worldometers.info/world-population/germany-population/"
"","","Bangladesh","https://www.worldometers.info/coronavirus/country/bangladesh/","193,590","2,457","+3,533","105,523","85,610","980,402","164,748,373","https://www.worldometers.info/world-population/bangladesh-population/"
"","","France","https://www.worldometers.info/coronavirus/country/france/","172,377","30,029","","78,597","63,751","2,489,269","65,279,255","https://www.worldometers.info/world-population/france-population/"
"","","Colombia","https://www.worldometers.info/coronavirus/country/colombia/","159,898","5,625","","68,806","85,467","1,082,415","50,902,201","https://www.worldometers.info/world-population/colombia-population/"
"","","Canada","https://www.worldometers.info/coronavirus/country/canada/","108,486","8,798","","72,170","27,518","3,302,483","37,754,249","https://www.worldometers.info/world-population/canada-population/"
"","","Argentina","https://www.worldometers.info/coronavirus/country/argentina/","106,910","1,968","","45,467","59,475","483,799","45,210,848","https://www.worldometers.info/world-population/argentina-population/"
"","","Qatar","https://www.worldometers.info/coronavirus/country/qatar/","104,533","150","","101,160","3,223","420,649","",""
"","","Egypt","https://www.worldometers.info/coronavirus/country/egypt/","83,930","4,008","","25,544","54,378","135,000","102,395,050","https://www.worldometers.info/world-population/egypt-population/"
"","","China","https://www.worldometers.info/coronavirus/country/china/","83,611","4,634","+6","78,693","284","90,410,000","",""
"","","Iraq","https://www.worldometers.info/coronavirus/country/iraq/","81,757","3,345","","50,782","27,630","698,012","40,249,168","https://www.worldometers.info/world-population/iraq-population/"
"","","Indonesia","https://www.worldometers.info/coronavirus/country/indonesia/","80,094","3,797","+1,522","39,050","37,247","1,122,339","273,626,716","https://www.worldometers.info/world-population/indonesia-population/"
"","","Sweden","https://www.worldometers.info/coronavirus/country/sweden/","76,001","5,545","","N/A","N/A","681,820","10,101,646","https://www.worldometers.info/world-population/sweden-population/"
"","","Ecuador","https://www.worldometers.info/coronavirus/country/ecuador/","69,570","5,130","","30,484","33,956","186,879","17,651,979","https://www.worldometers.info/world-population/ecuador-population/"
"","","Belarus","https://www.worldometers.info/coronavirus/country/belarus/","65,443","480","+174","56,379","8,584","1,151,734","9,449,196","https://www.worldometers.info/world-population/belarus-population/"
"","","Kazakhstan","https://www.worldometers.info/coronavirus/country/kazakhstan/","63,514","375","+1,759","38,008","25,131","1,737,546","18,784,556","https://www.worldometers.info/world-population/kazakhstan-population/"
"","","Belgium","https://www.worldometers.info/coronavirus/country/belgium/","62,872","9,788","+91","17,242","35,842","1,398,080","11,591,576","https://www.worldometers.info/world-population/belgium-population/"
"","","Oman","https://www.worldometers.info/coronavirus/country/oman/","61,247","281","+1,679","39,038","21,928","253,444","5,110,259","https://www.worldometers.info/world-population/oman-population/"
"","","Philippines","https://www.worldometers.info/coronavirus/country/philippines/","58,850","1,614","+1,392","20,976","36,260","1,017,723","109,631,056","https://www.worldometers.info/world-population/philippines-population/"
"","","Kuwait","https://www.worldometers.info/coronavirus/country/kuwait/","56,174","396","","46,161","9,617","441,143","4,272,688","https://www.worldometers.info/world-population/kuwait-population/"
"","","Ukraine","https://www.worldometers.info/coronavirus/country/ukraine/","55,607","1,427","+836","28,131","26,049","827,157","43,722,282","https://www.worldometers.info/world-population/ukraine-population/"
"","","UAE","https://www.worldometers.info/coronavirus/country/united-arab-emirates/","55,573","335","","46,025","9,213","4,052,000","9,894,571","https://www.worldometers.info/world-population/united-arab-emirates-population/"
"","","Netherlands","https://www.worldometers.info/coronavirus/country/netherlands/","51,146","6,135","","N/A","N/A","764,079","17,136,380","https://www.worldometers.info/world-population/netherlands-population/"
"","","Bolivia","https://www.worldometers.info/coronavirus/country/bolivia/","50,867","1,898","+1,617","15,819","33,150","111,416","11,678,450","https://www.worldometers.info/world-population/bolivia-population/"
"","","Panama","https://www.worldometers.info/coronavirus/country/panama/","48,096","960","","24,667","22,469","171,116","4,317,010","https://www.worldometers.info/world-population/panama-population/"
"","","Portugal","https://www.worldometers.info/coronavirus/country/portugal/","47,051","1,668","","31,550","13,833","1,366,864","10,195,453","https://www.worldometers.info/world-population/portugal-population/"
"","","Singapore","https://www.worldometers.info/coronavirus/country/singapore/","46,878","27","+249","42,737","4,114","1,009,532","5,852,044","https://www.worldometers.info/world-population/singapore-population/"
"","","Dominican Republic","https://www.worldometers.info/coronavirus/country/dominican-republic/","46,305","910","","23,134","22,261","189,391","10,851,818","https://www.worldometers.info/world-population/dominican-republic-population/"
"","","Israel","https://www.worldometers.info/coronavirus/country/israel/","42,813","375","+453","19,734","22,704","1,317,362","",""
"","","Poland","https://www.worldometers.info/coronavirus/country/poland/","38,721","1,594","+264","28,492","8,635","1,860,592","37,844,896","https://www.worldometers.info/world-population/poland-population/"
"","","Afghanistan","https://www.worldometers.info/coronavirus/country/afghanistan/","34,994","1,094","+254","22,456","11,444","81,934","38,954,218","https://www.worldometers.info/world-population/afghanistan-population/"
"","","Romania","https://www.worldometers.info/coronavirus/country/romania/","34,226","1,952","+641","22,049","10,225","886,918","19,232,044","https://www.worldometers.info/world-population/romania-population/"
"","","Bahrain","https://www.worldometers.info/coronavirus/country/bahrain/","34,078","114","","29,753","4,211","685,318","1,702,931","https://www.worldometers.info/world-population/bahrain-population/"
"","","Nigeria","https://www.worldometers.info/coronavirus/country/nigeria/","33,616","754","","13,792","19,070","186,309","206,284,260","https://www.worldometers.info/world-population/nigeria-population/"
"","","Switzerland","https://www.worldometers.info/coronavirus/country/switzerland/","33,148","1,968","+132","29,800","1,380","700,326","8,656,981","https://www.worldometers.info/world-population/switzerland-population/"
"","","Armenia","https://www.worldometers.info/coronavirus/country/armenia/","33,005","592","+515","21,348","11,065","139,220","2,963,464","https://www.worldometers.info/world-population/armenia-population/"
"","","Guatemala","https://www.worldometers.info/coronavirus/country/guatemala/","30,872","1,302","","4,453","25,117","64,590","17,926,043","https://www.worldometers.info/world-population/guatemala-population/"
"","","Honduras","https://www.worldometers.info/coronavirus/country/honduras/","29,106","807","+527","3,287","25,012","49,308","9,909,797","https://www.worldometers.info/world-population/honduras-population/"
"","","Ireland","https://www.worldometers.info/coronavirus/country/ireland/","25,670","1,746","","23,364","560","523,277","4,939,736","https://www.worldometers.info/world-population/ireland-population/"
"","","Ghana","https://www.worldometers.info/coronavirus/country/ghana/","25,252","139","+264","21,397","3,716","331,366","31,092,641","https://www.worldometers.info/world-population/ghana-population/"
"","","Azerbaijan","https://www.worldometers.info/coronavirus/country/azerbaijan/","25,113","319","","16,150","8,644","576,249","10,142,506","https://www.worldometers.info/world-population/azerbaijan-population/"
"","","Japan","https://www.worldometers.info/coronavirus/country/japan/","22,220","982","","18,282","2,956","574,432","126,460,083","https://www.worldometers.info/world-population/japan-population/"
"","","Algeria","https://www.worldometers.info/coronavirus/country/algeria/","20,216","1,028","","14,295","4,893","","43,876,253","https://www.worldometers.info/world-population/algeria-population/"
"","","Moldova","https://www.worldometers.info/coronavirus/country/moldova/","19,708","658","","13,298","5,752","101,180","4,033,570","https://www.worldometers.info/world-population/moldova-population/"
